# lat,lon,effective_radius_m -- worldwide city anchors for
# score_points()'s in-city test (docs/features/places.md). US rows are
# the untouched original app/reference/places.csv (US Census 2024
# Gazetteer places, radius = sqrt(ALAND/pi)). Non-US rows are derived
# from GeoNames cities500 (download.geonames.org), radius estimated from
# population (GeoNames carries no land-area figure) at an assumed
# 1500 people/km^2, clamped to [300m, 25000m] -- see
# scripts/build_global_anchors.py for the derivation and the
# Boise/SLC/Denver sanity check against the real US Census circles.
25.87,-97.3812,1077
25.8843,-97.4158,479
25.9213,-97.4148,487
25.9714,-97.4782,671
25.9813,-97.5882,1000
25.9957,-97.4508,10487
26.0276,-97.5401,726
26.0347,-97.6364,1473
26.0358,-97.5554,1301
26.0499,-97.7348,1243
26.052,-97.6553,1333
26.0566,-97.4236,600
26.0569,-97.6279,1242
26.063,-97.2467,2365
26.0668,-97.635,962
26.069,-97.9607,1315
26.0696,-97.8183,1556
26.0738,-97.4397,388
26.0741,-97.488,1903
26.0743,-97.4458,522
26.077,-97.8474,484
26.0808,-97.2593,364
26.085,-97.832,1318
26.0851,-97.9059,1127
26.0876,-97.6127,196
26.0877,-97.5031,436
26.0961,-97.9566,1571
26.1059,-97.2963,1995
26.1074,-97.7366,1693
26.1089,-98.2462,2623
26.1115,-97.6438,517
26.1197,-97.4892,1989
26.1205,-97.1707,1489
26.1207,-97.5648,1783
26.1294,-97.644,3609
26.1301,-97.996,466
26.1308,-97.9684,1143
26.1333,-98.0475,1147
26.1334,-97.3976,1789
26.1371,-98.3034,500
26.1441,-97.854,1138
26.1518,-98.1079,1296
26.1538,-97.9129,3119
26.1553,-97.825,1903
26.1568,-98.0214,898
26.1605,-97.9877,3734
26.161,-98.0389,2615
26.1634,-98.1939,4464
26.177,-97.8404,1159
26.1789,-97.8222,971
26.181,-98.1175,2512
26.1828,-97.8859,1475
26.1856,-97.6118,943
26.187,-98.0191,1194
26.1894,-98.1518,3160
26.1896,-97.5437,312
26.1912,-97.6974,5762
26.1919,-97.5819,394
26.1993,-97.8446,1296
26.2007,-97.481,2408
26.2009,-97.7296,406
26.2015,-97.4997,1803
26.2017,-97.7376,506
26.2041,-98.3252,5473
26.2044,-97.7543,702
26.2083,-98.3779,834
26.2111,-97.9191,1417
26.2116,-98.4119,1590
26.2161,-98.1266,1086
26.2224,-97.9599,1646
26.2232,-97.7517,1513
26.225,-98.2461,7171
26.2285,-97.9931,1743
26.2319,-98.3816,2500
26.2346,-97.5815,1180
26.2397,-98.5522,700
26.2452,-98.1537,797
26.2456,-98.4024,787
26.2465,-97.7268,1636
26.2522,-98.511,817
26.2561,-97.8253,798
26.2566,-98.5776,503
26.2578,-98.0897,935
26.2579,-98.4764,1862
26.2583,-98.4386,2779
26.2583,-98.2953,1915
26.2596,-97.6934,823
26.2641,-98.1228,2127
