ref_type,ref_code,name,lat,lon,points,source,area_m2,geom
summit,VE5/SP-007,VE5/SP-007,49.186100,-109.259000,100,SOTA,,
summit,VE7/OS-013,Grimface Mountain,49.026600,-120.185600,100,SOTA,,
summit,VE7/OS-014,Lakeview Mountain,49.043800,-120.159400,100,SOTA,,
summit,W0C/FR-001,Mount Lincoln,39.351400,-106.111200,100,SOTA,,
summit,W0C/FR-002,Grays Peak,39.633800,-105.817500,100,SOTA,,
summit,W0C/FR-003,Mount Blue Sky,39.588400,-105.643400,100,SOTA,,
summit,W0C/FR-004,Pikes Peak,38.840600,-105.044400,100,SOTA,,
summit,W0C/FR-005,Mount Silverheels,39.339400,-106.005300,100,SOTA,,
summit,W0C/FR-006,Bard Peak,39.720300,-105.804200,100,SOTA,,
summit,W0C/FR-007,Rosalie Peak,39.556100,-105.606500,100,SOTA,,
summit,W0C/FR-008,Hagues Peak,40.484500,-105.646300,100,SOTA,,
summit,W0C/FR-009,Ypsilon Mountain,40.457200,-105.681200,100,SOTA,,
summit,W0C/FR-010,Fairchild Mountain,40.468500,-105.664300,100,SOTA,,
summit,W0C/FR-110,Longs Peak,40.255000,-105.615200,100,SOTA,,
summit,W0C/FR-111,Chiefs Head Peak,40.249700,-105.641600,100,SOTA,,
summit,W0C/FR-112,North Arapaho Peak,40.026400,-105.650200,100,SOTA,,
summit,W0C/LG-001,Crestone Peak,37.966700,-105.585300,100,SOTA,,
summit,W0C/LG-002,Kit Carson Mountain,37.979700,-105.602500,100,SOTA,,
summit,W0C/LG-003,Stewart Peak,38.023000,-106.923300,100,SOTA,,
summit,W0C/LG-004,Organ Mountain,37.991200,-106.895200,100,SOTA,,
summit,W0C/LG-005,Baldy Alto,38.005300,-106.921500,100,SOTA,,
summit,W0C/LG-006,Pico Aislado,37.944200,-105.558900,100,SOTA,,
summit,W0C/LG-007,13546,38.003500,-105.619000,100,SOTA,,
summit,W0C/PR-013,Torreys Peak,39.642700,-105.821100,100,SOTA,,
summit,W0C/PR-014,Quandary Peak,39.397200,-106.106300,100,SOTA,,
summit,W0C/PR-015,Mount Bierstadt,39.582600,-105.668700,100,SOTA,,
summit,W0C/PR-016,Pacific Peak,39.423100,-106.123100,100,SOTA,,
summit,W0C/PR-017,Crystal Peak,39.434500,-106.114400,100,SOTA,,
summit,W0C/PR-018,Square Top Mountain,39.593300,-105.763100,100,SOTA,,
summit,W0C/PR-019,Bald Mountain,39.444800,-105.970500,100,SOTA,,
summit,W0C/PR-020,Gray Wolf Mountain,39.617300,-105.660600,100,SOTA,,
summit,W0C/PR-021,Mount Parnassus,39.720200,-105.822700,100,SOTA,,
summit,W0C/RG-001,Uncompahgre Peak,38.071600,-107.462100,100,SOTA,,
summit,W0C/RG-002,Redcloud Peak,37.940900,-107.421700,100,SOTA,,
summit,W0C/RG-003,Wetterhorn Peak,38.060700,-107.510900,100,SOTA,,
summit,W0C/RG-004,Sunshine Peak,37.922700,-107.425400,100,SOTA,,
summit,W0C/RG-005,Phoenix Peak,37.936300,-106.866300,100,SOTA,,
summit,W0C/RG-006,Jones Mountain,37.896500,-107.526400,100,SOTA,,
summit,W0C/RG-007,13832,37.947200,-107.398200,100,SOTA,,
summit,W0C/RG-008,Rio Grande Pyramid,37.679600,-107.392400,100,SOTA,,
summit,W0C/RG-009,13811,37.954600,-107.378300,100,SOTA,,
summit,W0C/RG-010,Niagara Peak,37.889200,-107.533600,100,SOTA,,
summit,W0C/RG-011,Pole Creek Mountain,37.795800,-107.430600,100,SOTA,,
summit,W0C/RG-012,Silver Mountain,38.106700,-107.449600,100,SOTA,,
summit,W0C/RG-013,13681,38.120400,-107.457600,100,SOTA,,
summit,W0C/RG-014,Quarter Peak,37.880900,-107.458000,100,SOTA,,
summit,W0C/RG-015,Northwest Pole,37.814100,-107.446400,100,SOTA,,
summit,W0C/RG-016,Carson Peak,37.857400,-107.402000,100,SOTA,,
summit,W0C/RG-017,Coxcomb Peak,38.080100,-107.533500,100,SOTA,,
summit,W0C/RG-018,Redcliff,38.087200,-107.533100,100,SOTA,,
summit,W0C/RG-019,Matterhorn Peak,38.065100,-107.496000,100,SOTA,,
summit,W0C/RG-020,13581,37.836700,-107.395500,100,SOTA,,
summit,W0C/RG-021,Gudy Peak,37.974600,-107.460400,100,SOTA,,
summit,W0C/RG-022,Whitecross Mountain,37.930700,-107.493300,100,SOTA,,
summit,W0C/RG-023,13540,37.961700,-107.495700,100,SOTA,,
summit,W0C/RG-024,13535,37.917900,-107.532400,100,SOTA,,
summit,W0C/RG-025,13510,37.966300,-107.070600,100,SOTA,,
summit,W0C/SC-001,Humboldt Peak,37.976100,-105.555100,100,SOTA,,
summit,W0C/SC-002,San Luis Peak,37.986900,-106.931300,100,SOTA,,
summit,W0C/SC-003,Mount Adams,38.007500,-105.604800,100,SOTA,,
summit,W0C/SC-004,Rito Alto Peak,38.102800,-105.661400,100,SOTA,,
summit,W0C/SC-005,Tijeras Peak,37.924400,-105.540400,100,SOTA,,
summit,W0C/SC-006,Cottonwood Peak,38.219000,-105.756500,100,SOTA,,
summit,W0C/SC-007,Eureka Mountain,38.078900,-105.641100,100,SOTA,,
summit,W0C/SC-013,California Peak,37.614200,-105.498900,100,SOTA,,
summit,W0C/SC-014,Colony Baldy,37.995500,-105.560300,100,SOTA,,
summit,W0C/SC-015,West Spanish Peak,37.375600,-104.993500,100,SOTA,,
summit,W0C/SC-016,Electric Peak,38.181800,-105.708300,100,SOTA,,
summit,W0C/SC-017,Broken Hand Peak,37.956900,-105.566700,100,SOTA,,
summit,W0C/SC-018,Fluted Peak,38.024500,-105.601400,100,SOTA,,
summit,W0C/SC-019,Gibbs Peak,38.163700,-105.666300,100,SOTA,,
summit,W0C/SC-020,Peak of the Clouds,38.117400,-105.657600,100,SOTA,,
summit,W0C/SJ-001,Handies Peak,37.912900,-107.504400,100,SOTA,,
summit,W0C/SJ-002,Vermilion Peak,37.799400,-107.828500,100,SOTA,,
summit,W0C/SJ-003,Half Peak,37.864500,-107.467100,100,SOTA,,
summit,W0C/SJ-004,Trinity Peak,37.684900,-107.581300,100,SOTA,,
summit,W0C/SJ-005,San Miguel Peak,37.779200,-107.864700,100,SOTA,,
summit,W0C/SJ-006,Gilpin Peak,37.986500,-107.793300,100,SOTA,,
summit,W0C/SJ-027,Mount Eolus,37.621900,-107.622600,100,SOTA,,
summit,W0C/SJ-028,Windom Peak,37.621200,-107.591900,100,SOTA,,
