ref_code,base_y,base_x,offsets
W0C/FR-001,14574,-27634,-2:-2 -1:-1 0:0 0:1
W0C/FR-002,14679,-27557,-1:0 0:0
W0C/FR-003,14662,-27512,-1:0 -1:1 0:-2 0:-1 0:0
W0C/FR-004,14385,-27356,-1:0 -1:1 0:0 0:1
W0C/FR-005,14570,-27606,-1:-1 -1:0 0:0 0:1
W0C/FR-006,14711,-27554,-1:1 0:0
W0C/FR-007,14650,-27502,-1:-1 -1:0 0:-1 0:0 0:1 1:-1 1:0 1:1
W0C/FR-008,14994,-27513,0:0 0:1 0:2 1:0 2:1 3:0 3:3
W0C/FR-009,14984,-27522,-2:-1 -2:0 -1:0 0:0
W0C/FR-010,14988,-27517,0:-2 0:-1 0:0
W0C/FR-011,14836,-27514,0:0
W0C/FR-012,14903,-27517,0:-3 0:-2 0:-1 0:0 1:-3
W0C/FR-013,14851,-27505,0:-1 0:0 0:1
W0C/FR-014,14882,-27513,-1:2 0:0 0:1
W0C/FR-015,14812,-27522,0:0 1:0
W0C/FR-016,14952,-27547,-3:2 -2:1 0:-1 0:0 1:-1 2:-1
W0C/FR-017,14628,-27509,-1:-1 -1:0 -1:1 0:-1 0:0 0:1 0:2 0:3 1:0 1:1
W0C/FR-018,14926,-27523,0:0
W0C/FR-024,14648,-27525,-2:0 -1:-1 -1:0 -1:1 0:-2 0:-1 0:0 0:1 1:-2 1:-1 2:-2 2:-1 3:-3 3:-2
W0C/FR-028,13876,-27709,0:-1 0:0
W0C/FR-110,14909,-27504,0:-1 0:0
W0C/FR-111,14907,-27511,-1:0 0:-1 0:0
W0C/FR-112,14824,-27514,-2:0 0:0
W0C/FR-113,14832,-27507,0:0
W0C/FR-114,14832,-27510,0:0 2:-3 2:-2 3:-3
W0C/FR-115,14877,-27518,-3:0 -1:-2 -1:-1 0:-1 0:0 1:-1 2:-1
W0C/FR-116,14889,-27521,0:0 1:1 2:2
W0C/FR-118,14946,-27532,-1:0 -1:1 0:-1 0:0 1:0 2:2
W0C/FR-119,15018,-27523,-1:1 -1:2 0:-1 0:0 0:1 0:2 0:3 0:4 1:-2 1:-1 1:0 1:1 1:4
W0C/FR-230,14952,-27542,-2:-2 0:0 0:1 2:3
W0C/LG-001,14061,-27497,0:0 0:1
W0C/LG-002,14066,-27501,0:-1 0:0
W0C/LG-003,14082,-27845,0:-1 0:0
W0C/LG-004,14070,-27838,0:0 1:0 2:0
W0C/LG-005,14076,-27845,-5:-1 -2:-1 -1:0 0:0 0:1 3:-2
W0C/LG-006,14053,-27490,-3:3 0:0 1:2 2:2
W0C/LG-007,14075,-27505,0:0 2:3
W0C/LG-008,14118,-27523,0:-1 0:0 3:4
W0C/LG-009,14018,-27473,-1:-1 -1:0 -1:1 0:0
W0C/LG-010,14125,-27530,0:0
W0C/LG-011,14194,-27661,0:0
W0C/LG-012,14022,-27472,-4:-2 -3:-1 0:0
W0C/LG-013,14109,-27524,-5:1 0:0
W0C/LG-014,14096,-27516,-1:0 0:0
W0C/LG-015,14038,-27770,-3:-3 -2:0 -1:-2 -1:-1 -1:0 0:-1 0:0 0:1 1:-1 1:0 1:1 2:-1 2:0 2:1 2:2
W0C/LG-017,14101,-27530,-1:0 0:0 0:1 1:2
W0C/PR-001,15039,-27586,-1:0 0:-1 0:0
W0C/PR-002,14988,-27577,0:-1 0:0
W0C/PR-003,14764,-27591,0:0 1:0
W0C/PR-013,14682,-27558,0:0
W0C/PR-014,14591,-27632,0:0
W0C/PR-015,14660,-27518,0:0 3:3
W0C/PR-016,14601,-27637,-4:0 0:0
W0C/PR-017,14605,-27634,0:0
W0C/PR-018,14664,-27543,-1:-1 -1:0 -1:1 -1:2 0:0 0:1
W0C/PR-019,14609,-27597,-3:1 -2:1 -1:0 0:0
W0C/PR-020,14673,-27516,-2:-1 -1:-1 -1:0 0:0 1:0
W0C/PR-021,14711,-27558,-1:-1 -1:4 0:-1 0:0
W0C/PR-022,14683,-27565,-1:-1 -1:0 0:0
W0C/PR-023,14731,-27696,-1:0 0:0
W0C/PR-024,14672,-27541,-3:-4 -2:-4 0:0 1:0
W0C/PR-025,14672,-27505,-3:-3 0:-1 0:0 1:0 1:1
W0C/PR-026,14720,-27553,-2:0 -1:0 0:0 0:1
W0C/PR-027,14686,-27654,0:0 0:1 0:2
W0C/PR-028,14912,-27515,0:-1 0:0
W0C/PR-029,14715,-27689,0:0 0:1 2:-1
W0C/PR-030,14708,-27670,0:0
W0C/PR-031,14695,-27568,-2:-1 -2:0 0:0 0:1
W0C/PR-032,14710,-27679,0:0
W0C/PR-033,14719,-27677,0:0 1:0
W0C/PR-034,14612,-27656,0:0
W0C/PR-035,14680,-27649,0:0
W0C/PR-036,14688,-27553,-2:0 -1:0 0:0
W0C/PR-037,14699,-27665,-1:-1 0:0 1:0 1:1 1:3
W0C/PR-038,14711,-27677,-1:-3 0:0 1:2
W0C/PR-039,14642,-27636,0:0 3:0
W0C/PR-040,14719,-27684,0:0
W0C/PR-041,14972,-27578,-1:0 0:0 1:-1 3:-2 3:-1
W0C/PR-042,14838,-27520,-3:4 -2:4 0:0 1:-1 3:-1
W0C/PR-044,14699,-27591,0:0 0:1
W0C/PR-045,14943,-27536,-1:-1 -1:0 0:-1 0:0 0:1 2:3
W0C/PR-046,14961,-27580,0:0 1:0 4:1 5:1
W0C/PR-047,14761,-27595,-4:0 -3:-1 0:0 2:3
W0C/PR-048,14726,-27689,-2:-4 -1:-3 0:-4 0:0 1:-4
W0C/PR-049,15058,-27593,0:0 1:0 2:-1 3:-1
W0C/PR-050,14659,-27581,-4:1 -3:1 -3:2 -2:0 -1:0 0:0
W0C/PR-051,14905,-27529,-1:0 0:0
W0C/PR-052,14948,-27587,0:0 1:-1 4:-1
W0C/RG-001,14100,-27985,0:0
W0C/RG-002,14052,-27975,-3:0 -2:0 -1:0 0:0
W0C/RG-003,14096,-27998,0:0
W0C/RG-004,14045,-27976,0:0 1:0 3:1
W0C/RG-005,14050,-27830,-4:2 -1:-1 -1:0 0:0
W0C/RG-006,14035,-28002,-1:0 0:0 1:4 2:2
W0C/RG-007,14054,-27969,0:0 1:-1
W0C/RG-008,13955,-27967,0:0
